.,division_name,department,dept_name,section,sect_name,plant_no,plant_name,dp_no,dp_date,unlock_display_code,doc_type,customer_no,customer_name,site_no,site_name,product_no,dp_dispatch_qty,truck_no,upload_date
90000142,CPAC East,20164,East 2,23190,ผลิตพานทอง,13O5,ซิโนมา Type X,5140018341,6/05/2026 0:00 น.,8420,NoSign,FR34000012,บริษัท ไป๋หมิง คอนสตรัคชั่น (ประเทศไทย) จำกัด,E011141,Multi-Fineline Project,00D0B3AB31,5.5,9999,
90000142,CPAC East,20164,East 2,23190,ผลิตพานทอง,13O5,ซิโนมา Type X,5140018339,6/05/2026 0:00 น.,1705,NoSign,FR34000012,บริษัท ไป๋หมิง คอนสตรัคชั่น (ประเทศไทย) จำกัด,E011141,Multi-Fineline Project,00D0B3AB31,5.5,9999,
90000142,CPAC East,20164,East 2,23190,ผลิตพานทอง,13O5,ซิโนมา Type X,5140018340,6/05/2026 0:00 น.,118,NoSign,FR34000012,บริษัท ไป๋หมิง คอนสตรัคชั่น (ประเทศไทย) จำกัด,E011141,Multi-Fineline Project,00D0B3AB31,5.5,9999,
90000142,CPAC East,20164,East 2,23190,ผลิตพานทอง,13O5,ซิโนมา Type X,5140018342,6/05/2026 0:00 น.,166,NoSign,FR34000012,บริษัท ไป๋หมิง คอนสตรัคชั่น (ประเทศไทย) จำกัด,E011141,Multi-Fineline Project,00D0B3AB31,5.5,9999,
90000140,CPAC Metro,14301,Metro 2,14404,Prod.รามอินทรา,31B2,มีนบุรี,4053906198,6/05/2026 0:00 น.,4725,NoSign,3001656,บ.เนาวรัตน์พัฒนาการ จก.(มหาชน),C90398,N.506 B ท่อร้อยสายไฟใต้ดิน รถไฟฟ้าสายสีชมพู (คลองประปา-มีนบ,05M2A9AB33,4,8815,
90000142,CPAC East,20164,East 2,23190,ผลิตพานทอง,13O5,ซิโนมา Type X,5140018343,6/05/2026 0:00 น.,6804,NoSign,FR34000012,บริษัท ไป๋หมิง คอนสตรัคชั่น (ประเทศไทย) จำกัด,E011141,Multi-Fineline Project,00D0B3AB31,5.5,9999,
90000140,CPAC Metro,14300,Metro 1,14388,Prod.บางซื่อ,31N3,บางซ่อน 4,4168132309,6/05/2026 0:00 น.,9506,NoSign,3016696,บ.พีเอสพี ซีเมนต์ไทย จก.,A010307,วางท่อประปา ถ.กาญจนาภิเษก-แม่น้ำเจ้าพระยา นนทบุรี/รวมนที/พัน,28NCA0AB00,5,8697,
90000142,CPAC East,20164,East 2,23190,ผลิตพานทอง,13O5,ซิโนมา Type X,5140018344,6/05/2026 0:00 น.,7908,NoSign,FR34000012,บริษัท ไป๋หมิง คอนสตรัคชั่น (ประเทศไทย) จำกัด,E011141,Multi-Fineline Project,00D0B3AB31,5.5,9999,
90000140,CPAC Metro,14301,Metro 2,14404,Prod.รามอินทรา,31B2,มีนบุรี,4053906199,6/05/2026 0:00 น.,5845,NoSign,3001656,บ.เนาวรัตน์พัฒนาการ จก.(มหาชน),C90398,N.506 B ท่อร้อยสายไฟใต้ดิน รถไฟฟ้าสายสีชมพู (คลองประปา-มีนบ,05M2A9AB33,4,2572,
90000142,CPAC East,20164,East 2,23190,ผลิตพานทอง,13O5,ซิโนมา Type X,5140018345,6/05/2026 0:00 น.,9214,NoSign,FR34000012,บริษัท ไป๋หมิง คอนสตรัคชั่น (ประเทศไทย) จำกัด,E011141,Multi-Fineline Project,00D0B3AB31,5.5,9999,
